Latitude,Longitude
34.1522,-118.391
34.0028,-118.2391
34.0111,-118.2653
34.2953,-118.459
33.9787,-118.2918
34.1127,-118.1942
34.0623,-118.198
33.9864,-118.4239
34.1781,-118.4179
33.9298,-118.3784
34.2536,-118.5913
33.9875,-118.286
34.0761,-118.3563
34.0944,-118.3277
33.7293,-118.2902
34.0805,-118.2087
34.1998,-118.63
34.1214,-118.3203
34.015,-118.4389
34.0444,-118.2628
34.2147,-118.4565
34.098,-118.3353
34.1613,-118.4917
34.0598,-118.2865
34.1827,-118.4575
34.0106,-118.2704
34.179,-118.5105
33.9836,-118.3397
34.2337,-118.463
34.2684,-118.5022
34.1464,-118.4383
34.3238,-118.4387
34.212,-118.5492
34.0672,-118.3079
34.1657,-118.6321
33.9861,-118.4017
34.2796,-118.4239
34.2329,-118.461
34.2346,-118.5403
34.0472,-118.4333
34.2537,-118.4355
34.0147,-118.2445
34.1925,-118.4531
34.1529,-118.4749
34.2075,-118.3769
34.2121,-118.3638
33.9593,-118.2651
34.2013,-118.4574
34.2084,-118.3703
34.1235,-118.429
34.1794,-118.4487
34.2157,-118.3948
34.0926,-118.3363
34.006,-118.2513
34.2047,-118.5955
34.1584,-118.3746
34.0052,-118.3089
33.9856,-118.4007
34.0615,-118.2412
34.1939,-118.4749
34.0349,-118.2436
34.0101,-118.261
34.1391,-118.2141
34.0871,-118.2141
33.7596,-118.2953
34.2265,-118.4565
34.286,-118.5138
34.0637,-118.287
34.0191,-118.2083
34.0245,-118.244
34.0587,-118.2869
34.2248,-118.5151
34.0054,-118.3297
34.1649,-118.4574
34.1976,-118.4356
33.7478,-118.2817
34.1152,-118.1962
34.0457,-118.4511
34.0224,-118.2564
33.9864,-118.2871
34.0667,-118.2857
34.0845,-118.2232
34.1149,-118.2459
33.9374,-118.2681
33.9298,-118.3784
34.2597,-118.3179
34.0926,-118.3375
33.9393,-118.2608
34.0288,-118.3996
34.0916,-118.2577
34.1677,-118.5142
34.1146,-118.3607
34.1903,-118.4128
34.1758,-118.5535
34.251,-118.3723
34.1876,-118.4356
34.0542,-118.2566
