Location
4500    CARPENTER                    AV
45TH                         ST
600 E  MARTIN LUTHER KING JR        BL
14900    ORO GRANDE                   ST
7100 S  VERMONT                      AV
300 N  AVENUE 57
1600 N  SOTO                         ST
12600    BRADDOCK                     DR
5500    COLDWATER CA                 AV
11500    AVIATION                     BL
MASON                        AV
5800    BONSALLO                     AV
100    THE GROVE                    DR
AFTON
1600 S  GRAND                        AV
3000    JOHNSTON                     ST
23100    SHERMAN                      WY
2800    WESTSHIRE                    DR
3200    GRAND VIEW                   BL
700 W  OLYMPIC                      BL
7900    KESTER                       AV
CHEROKEE
16700 W  VENTURA                      BL
2700 W  8TH                          ST
6200    KESTER                       AV
4000    TRINITY                      ST
6000    LASAINE                      AV
6200 S  RIMPAU                       BL
NORDHOFF
BALBOA
4200    MURIETTA                     AV
13900    POLK                         ST
19100    INGOMAR                      ST
400 S  OXFORD                       AV
23200    GONZALES                     DR
11800    JEFFERSON                    BL
13400    CORNELIUS                    ST
NOBLE
18700    SUNBURST                     ST
1900    GLENDON                      AV
10100    BARTEE                       AV
25TH                         ST
6700    CEDROS                       AV
15700    WOODVALE                     RD
11200    COVELLO                      ST
7800    CLYBOURN                     AV
600 E  87TH                         ST
SHERMAN                      WY
7600    VINELAND                     AV
9700    WENDOVER                     DR
6000    VAN NUYS                     BL
12000    STRATHERN                    ST
LEXINGTON                    AV
1100 E  VERNON                       AV
ETON
11200    LA MAIDA                     ST
4300 S  WESTERN                      AV
11800    TEALE                        ST
900 N  BROADWAY
15700    VANOWEN                      ST
41ST                         PL
40TH                         PL
2200    COLORADO                     BL
3500    MARMION                      WY
800    MILLMARK GROVE               ST
8700    CEDROS                       AV
17400    RAINBOW RIDGE                CI
600 S  VIRGIL                       AV
3300 E  OLYMPIC                      BL
TARLETON                     ST
2900    LEEWARD                      AV
8600    BALBOA                       BL
LEIMERT                      BL
5200    KESTER                       AV
13900    VANOWEN                      ST
600 N  PALOS VERDES                 ST
5600    IRVINGTON                    PL
11400    SANTA MONICA                 BL
GRIFFITH                     AV
5900 S  HOOVER                       ST
COMMONWEALTH
AVENUE 26
SAN FERNANDO
400 E  109TH                        ST
11500    AVIATION                     BL
8500    FOOTHILL                     BL
1200 N  MCCADDEN                     PL
107TH                        ST
3600    WATSEKA                      AV
2000    ALLESANDRO                   ST
17500    MARGATE                      ST
2000    OUTPOST                      DR
6600    ALCOVE                       AV
TAMPA
11000    HERSHEY                      ST
13900    GILMORE                      ST
300 S  FIGUEROA                     ST
18000    CALVERT                      ST
800 N  LA BREA                      AV
100    CATAMARAN                    ST
700 W  81ST                         ST
GRAND                        AV
HARTFORD                     AV
1600    VINE                         ST
3700    LEE                          ST
600 S  VIRGIL                       AV
3700    BALDWIN                      ST
13300    WOODBRIDGE                   ST
700 W  107TH                        ST
4700 N  MENDOTA                      AV
ROSCOE
1600    ARLINGTON                    AV
800 S  BERENDO                      ST
1400 E  53RD                         ST
1100 W  2ND                          ST
3100    WILSHIRE                     BL
800 W  3RD                          ST
2800    CANYON                       DR
600 E  83RD                         ST
5400    HOLLYWOOD                    BL
9000    BARTEE                       AV
HAMILTON
LA SALLE                     AV
PARTHENIA
500 E  89TH                         ST
12400    FILMORE                      ST
18100    KILLION                      ST
3100 S  NORMANDIE                    AV
17TH
500 W  61ST                         ST
E  24TH                         ST
11100    CANTARA                      ST
1600    STAUNTON                     AV
1600    GRIFFITH PARK                BL
1600 N  MANDEVILLE CANYON            RD
400 S  PACIFIC                      AV
6400    FOOTHILL                     BL
14300    CHATSWORTH                   DR
1000 E  WASHINGTON                   BL
3300 S  MAIN                         ST
4900 W  20TH                         ST
